date,method,passed,balance_max_abs_kwh,soc_recurrence_max_abs_kwh,emergency_definition_max_abs_kwh,cost_max_abs_yuan,within_day_soc_continuity_max_abs_kwh,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,charge_discharge_conflicts,charge_emergency_conflicts,source_causal,plan_frozen,solver_method,solver_success,solver_status_code,mip_gap,lp_initial_conflicts,incremental_rounds,active_binary_count,total_possible_binaries,model_max_constraint_violation
2025-09-22,stochastic,True,2.27373675443e-13,4.05009359383e-13,0,0,0,1200,6429.02834466,818.207471429,832.338883333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000459723698323,52,1,720,2880,1.30967237055e-10
2025-09-23,stochastic,True,2.27373675443e-13,4.20996570938e-13,0,0,0,1200,6434.33380579,833.333333333,823.508002381,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000188313254243,38,1,576,2880,1.71871761268e-09
2025-09-24,stochastic,True,2.27373675443e-13,4.26325641456e-13,0,0,0,1200,7345.41631505,833.333333333,807.593133333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000254328249814,36,1,576,2880,7.70228325564e-11
2025-09-25,stochastic,True,2.27373675443e-13,4.26325641456e-13,0,0,0,1200,6871.24353822,833.333333333,791.963495238,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000147618315796,43,1,576,2880,1.16460796562e-09
2025-09-26,stochastic,True,1.13686837722e-13,7.95807864051e-13,0,0,0,1325.7808705,10800,833.333333333,536.459047619,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000150628710379,34,1,720,2880,7.74889485911e-10
2025-09-27,stochastic,True,1.13686837722e-13,9.09494701773e-13,0,0,0,4220.2252489,10800,833.333333333,548.63,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,3.17795132852e-05,41,1,720,2880,5.57186695005e-07
2025-09-28,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,6759.58769003,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,6.01490248572e-05,32,1,720,2880,2.3990196496e-09
2025-09-29,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7023.90995762,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000112822020519,39,1,576,2880,2.14470219362e-09
2025-09-30,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,6147.0996064,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.24884261365e-05,31,1,576,2880,4.17458068114e-10
2025-10-01,stochastic,True,1.13686837722e-13,7.49622586227e-13,0,0,0,1200,9336.37469,833.333333333,815.645,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000211698748196,41,1,720,2880,1.86446413863e-11
